OTU_ID	Kingdom_RDP	Kingdom_SINTAX	Kingdom_UTAX	Kingdom_Consensus	Phylum_RDP	Phylum_SINTAX	Phylum_UTAX	Phylum_Consensus	Class_RDP	Class_SINTAX	Class_UTAX	Class_Consensus	Order_RDP	Order_SINTAX	Order_UTAX	Order_Consensus	Family_RDP	Family_SINTAX	Family_UTAX	Family_Consensus	Genus_RDP	Genus_SINTAX	Genus_UTAX	Genus_Consensus	Species_RDP	Species_SINTAX	Species_UTAX	Species_Consensus
esv_9086	Fungi	Fungi	Fungi	Fungi		Basidiomycota		Basidiomycota																				
esv_9087	Fungi	Fungi	Fungi	Fungi																								
esv_9084	Fungi	Fungi	Fungi	Fungi																								
esv_9085	Fungi	Fungi	Fungi	Fungi																								
esv_5688	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota																				
esv_5689	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota																				
esv_9080	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota																				
esv_9081	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Saccharomycetes	Saccharomycetes	Saccharomycetes	Saccharomycetes	Saccharomycetales	Saccharomycetales	Saccharomycetales	Saccharomycetales												
esv_5684	Fungi	Fungi	Fungi	Fungi																								
esv_5685	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Agaricomycetes	Agaricomycetes		Agaricomycetes	Polyporales	Polyporales		Polyporales		Coriolaceae		Coriolaceae								
esv_5686	Fungi	Fungi	Fungi	Fungi		Basidiomycota		Basidiomycota		Agaricomycetes		Agaricomycetes																
esv_5687	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Sordariomycetes	Sordariomycetes	Sordariomycetes	Sordariomycetes	Hypocreales	Hypocreales		Hypocreales		Stachybotryaceae		Stachybotryaceae								
esv_5680	Fungi	Fungi	Fungi	Fungi	Glomeromycota	Glomeromycota	Glomeromycota	Glomeromycota																				
esv_5681	Fungi	Fungi	Fungi	Fungi																								
esv_5682	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota		Basidiomycota	Agaricomycetes	Agaricomycetes		Agaricomycetes	Agaricales	Agaricales		Agaricales												
esv_5683	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Dothideomycetes	Dothideomycetes		Dothideomycetes	Pleosporales	Pleosporales		Pleosporales												
esv_9082	Fungi	Fungi	Fungi	Fungi																								
esv_9083	Fungi	Fungi	Fungi	Fungi																								
esv_1033	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Tremellomycetes	Tremellomycetes	Tremellomycetes	Tremellomycetes	Tremellales	Tremellales	Tremellales	Tremellales												
esv_4512	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Sordariomycetes	Sordariomycetes		Sordariomycetes	Hypocreales	Hypocreales		Hypocreales	Nectriaceae	Nectriaceae		Nectriaceae								
esv_4511	Fungi	Fungi	Fungi	Fungi																								
esv_1030	Fungi	Fungi	Fungi	Fungi																								
esv_9088	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota																				
esv_1037	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Leotiomycetes	Leotiomycetes		Leotiomycetes	Helotiales	Helotiales		Helotiales	Helotiaceae			Helotiaceae	Tetracladium			Tetracladium				
esv_9089	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota																				
esv_3121	Fungi	Fungi	Fungi	Fungi																								
esv_1036	Fungi	Fungi	Fungi	Fungi	Glomeromycota	Glomeromycota	Glomeromycota	Glomeromycota	Glomeromycetes	Glomeromycetes	Glomeromycetes	Glomeromycetes	Glomerales	Glomerales	Glomerales	Glomerales	Glomeraceae	Glomeraceae		Glomeraceae								
esv_6887	Fungi	Fungi	Fungi	Fungi																								
esv_6886	Fungi	Fungi	Fungi	Fungi																								
esv_6885	Fungi	Fungi	Fungi	Fungi																								
esv_6884	Fungi	Fungi	Fungi	Fungi	Glomeromycota	Glomeromycota	Glomeromycota	Glomeromycota	Glomeromycetes	Glomeromycetes	Glomeromycetes	Glomeromycetes	Glomerales	Glomerales	Glomerales	Glomerales	Glomeraceae	Glomeraceae		Glomeraceae								
esv_6883	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota																				
esv_1743	Fungi	Fungi	Fungi	Fungi																								
esv_8937	Fungi	Fungi	Fungi	Fungi																								
esv_6880	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota																				
esv_8939	Fungi	Fungi	Fungi	Fungi																								
esv_8938	Fungi	Fungi	Fungi	Fungi																								
esv_1034	Fungi	Fungi	Fungi	Fungi																								
esv_1039	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota		Eurotiomycetes		Eurotiomycetes																
esv_1038	Fungi	Fungi	Fungi	Fungi																								
esv_8567	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Sordariomycetes	Sordariomycetes		Sordariomycetes	Xylariales	Xylariales		Xylariales	Xylariaceae	Xylariaceae		Xylariaceae	Hypoxylon	Hypoxylon		Hypoxylon				
esv_4760	Fungi	Fungi	Fungi	Fungi																								
esv_4761	Fungi	Fungi	Fungi	Fungi																								
esv_4762	Fungi	Fungi	Fungi	Fungi																								
esv_4763	Fungi	Fungi	Fungi	Fungi																								
esv_4816	Fungi	Fungi	Fungi	Fungi																								
esv_4765	Fungi	Fungi	Fungi	Fungi																								
esv_4766	Fungi	Fungi	Fungi	Fungi																								
esv_4815	Fungi	Fungi	Fungi	Fungi																								
esv_4768	Fungi	Fungi	Fungi	Fungi																								
esv_4818	Fungi	Fungi	Fungi	Fungi																								
esv_4819	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota	Saccharomycetes	Saccharomycetes		Saccharomycetes	Saccharomycetales	Saccharomycetales		Saccharomycetales												
esv_8646	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Sordariomycetes	Sordariomycetes		Sordariomycetes	Hypocreales	Hypocreales		Hypocreales		Bionectriaceae		Bionectriaceae		Clonostachys		Clonostachys				
esv_9067	Fungi	Fungi	Fungi	Fungi																								
esv_10469	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Agaricomycetes	Agaricomycetes		Agaricomycetes	Agaricales	Agaricales		Agaricales	Psathyrellaceae	Psathyrellaceae		Psathyrellaceae	Psathyrella	Psathyrella		Psathyrella				
esv_10468	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Dothideomycetes	Dothideomycetes		Dothideomycetes	Capnodiales	Capnodiales		Capnodiales												
esv_9109	Fungi	Fungi	Fungi	Fungi																								
esv_10465	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota		Basidiomycota		Agaricomycetes		Agaricomycetes																
esv_10464	Fungi	Fungi	Fungi	Fungi		Basidiomycota		Basidiomycota																				
esv_10467	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota																				
esv_10466	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Leotiomycetes	Leotiomycetes	Leotiomycetes	Leotiomycetes	Helotiales	Helotiales	Helotiales	Helotiales	Chaetomellaceae	Chaetomellaceae		Chaetomellaceae	Pilidium	Pilidium		Pilidium		Pilidium concavum 		Pilidium concavum 
esv_10461	Fungi	Fungi	Fungi	Fungi		Basidiomycota		Basidiomycota																				
esv_10460	Fungi	Fungi	Fungi	Fungi																								
esv_10463	Fungi	Fungi	Fungi	Fungi		Basidiomycota		Basidiomycota																				
esv_10462	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota	Dothideomycetes	Dothideomycetes		Dothideomycetes	Pleosporales	Pleosporales		Pleosporales	Didymosphaeriaceae	Didymosphaeriaceae		Didymosphaeriaceae	Paraconiothyrium	Paraconiothyrium		Paraconiothyrium	Paraconiothyrium variabile 	Paraconiothyrium variabile 		Paraconiothyrium variabile 
esv_3124	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota																				
esv_7388	Fungi	Fungi	Fungi	Fungi																								
esv_7868	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota	Sordariomycetes	Sordariomycetes		Sordariomycetes		Branch06		Branch06												
esv_7869	Fungi	Fungi	Fungi	Fungi																								
esv_7867	Fungi	Fungi	Fungi	Fungi																								
esv_7864	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Sordariomycetes	Sordariomycetes		Sordariomycetes		Xylariales		Xylariales		Incertae_sedis		Incertae_sedis		Asteromella		Asteromella		Asteromella pistaciarum 		Asteromella pistaciarum 
esv_10215	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota																				
