OTU_ID	Kingdom_RDP	Kingdom_SINTAX	Kingdom_UTAX	Kingdom_Consensus	Phylum_RDP	Phylum_SINTAX	Phylum_UTAX	Phylum_Consensus	Class_RDP	Class_SINTAX	Class_UTAX	Class_Consensus	Order_RDP	Order_SINTAX	Order_UTAX	Order_Consensus	Family_RDP	Family_SINTAX	Family_UTAX	Family_Consensus	Genus_RDP	Genus_SINTAX	Genus_UTAX	Genus_Consensus	Species_RDP	Species_SINTAX	Species_UTAX	Species_Consensus
OTU97_4315;size=17	Fungi	Fungi	Fungi	Fungi		Basidiomycota		Basidiomycota																				
OTU97_3672;size=63	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota		Cystobasidiomycetes		Cystobasidiomycetes																
OTU97_4891;size=8	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Dothideomycetes	Dothideomycetes		Dothideomycetes	Jahnulales	Jahnulales		Jahnulales												
OTU97_4611;size=14	Fungi	Fungi	Fungi	Fungi																								
OTU97_6720;size=3	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota																				
OTU97_2433;size=42	Fungi	Fungi	Fungi	Fungi																								
OTU97_2362;size=45	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Sordariomycetes	Sordariomycetes		Sordariomycetes		Chaetosphaeriales		Chaetosphaeriales		Chaetosphaeriaceae		Chaetosphaeriaceae								
OTU97_3256;size=43	Fungi	Fungi	Fungi	Fungi																								
OTU97_4940;size=20	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Eurotiomycetes	Eurotiomycetes	Eurotiomycetes	Eurotiomycetes	Eurotiales	Eurotiales		Eurotiales	Aspergillaceae	Aspergillaceae		Aspergillaceae	Aspergillus	Aspergillus		Aspergillus				
OTU97_4117;size=37	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota																				
OTU97_911;size=218	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Dothideomycetes	Dothideomycetes		Dothideomycetes	Capnodiales	Capnodiales		Capnodiales												
OTU97_2409;size=189	Fungi	Fungi	Fungi	Fungi																								
OTU97_5483;size=6	Fungi	Fungi	Fungi	Fungi		Basidiomycota		Basidiomycota		Agaricomycetes		Agaricomycetes																
OTU97_5049;size=10	Fungi	Fungi	Fungi	Fungi		Basidiomycota		Basidiomycota		Tremellomycetes		Tremellomycetes		Tremellales		Tremellales												
OTU97_752;size=253	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota		Basidiomycota	Agaricomycetes	Agaricomycetes		Agaricomycetes		Agaricales		Agaricales												
OTU97_5924;size=6	Fungi	Fungi	Fungi	Fungi																								
OTU97_4821;size=11	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota																				
OTU97_433;size=907	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Sordariomycetes	Sordariomycetes		Sordariomycetes	Sordariales	Sordariales		Sordariales	Chaetomiaceae	Chaetomiaceae		Chaetomiaceae	Humicola	Humicola		Humicola	Humicola phialophoroides 	Humicola phialophoroides 		Humicola phialophoroides 
OTU97_1598;size=223	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota		Archaeorhizomycetes		Archaeorhizomycetes		Archaeorhizomycetales		Archaeorhizomycetales		Archaeorhizomycetaceae		Archaeorhizomycetaceae		Archaeorhizomyces		Archaeorhizomyces				
OTU97_4942;size=44	Fungi	Fungi	Fungi	Fungi	Rozellomycota	Rozellomycota	Rozellomycota	Rozellomycota																				
OTU97_5402;size=13	Fungi	Fungi	Fungi	Fungi																								
OTU97_5150;size=17	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota		Sordariomycetes		Sordariomycetes																
OTU97_6238;size=4	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota																				
OTU97_6586;size=3	Fungi	Fungi	Fungi	Fungi																								
OTU97_6254;size=6	Fungi	Fungi	Fungi	Fungi		Basidiomycota		Basidiomycota		Agaricomycetes		Agaricomycetes																
OTU97_3801;size=29		Fungi	Fungi	Fungi		Ascomycota		Ascomycota																				
OTU97_4296;size=11	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota	Sordariomycetes	Sordariomycetes		Sordariomycetes																
OTU97_2930;size=29	Fungi	Fungi	Fungi	Fungi																								
OTU97_311;size=1988	Fungi	Fungi	Fungi	Fungi																								
OTU97_2064;size=119	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota		Sordariomycetes		Sordariomycetes		Xylariales		Xylariales												
OTU97_4621;size=9	Fungi	Fungi	Fungi	Fungi																								
OTU97_4856;size=11	Fungi	Fungi	Fungi	Fungi																								
OTU97_397;size=764	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota		Basidiomycota	Agaricomycetes	Agaricomycetes		Agaricomycetes	Trechisporales	Trechisporales		Trechisporales	Hydnodontaceae	Hydnodontaceae		Hydnodontaceae	Trechispora	Trechispora		Trechispora	Trechispora sp 	Trechispora sp 		Trechispora sp 
OTU97_1540;size=380	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota																				
OTU97_5093;size=7	Fungi	Fungi	Fungi	Fungi																								
OTU97_4706;size=9	Fungi	Fungi	Fungi	Fungi																								
OTU97_3104;size=64	Fungi	Fungi	Fungi	Fungi																								
OTU97_1409;size=128	Fungi	Fungi	Fungi	Fungi																								
OTU97_473;size=450	Fungi	Fungi	Fungi	Fungi																								
OTU97_303;size=890	Fungi	Fungi	Fungi	Fungi	Mortierellomycota	Mortierellomycota	Mortierellomycota	Mortierellomycota	Mortierellomycetes	Mortierellomycetes		Mortierellomycetes	Mortierellales	Mortierellales		Mortierellales	Mortierellaceae	Mortierellaceae		Mortierellaceae	Mortierella	Mortierella		Mortierella				
OTU97_1867;size=137	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota		Leotiomycetes		Leotiomycetes		Helotiales		Helotiales												
OTU97_4173;size=20	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Dothideomycetes	Dothideomycetes		Dothideomycetes	Pleosporales	Pleosporales		Pleosporales												
OTU97_5995;size=4	Fungi	Fungi	Fungi	Fungi																								
OTU97_5223;size=6	Fungi	Fungi	Fungi	Fungi																								
OTU97_4233;size=11	Fungi	Fungi	Fungi	Fungi																								
OTU97_1051;size=299	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Dothideomycetes	Dothideomycetes		Dothideomycetes	Capnodiales	Capnodiales		Capnodiales												
